Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
228449,Graziano's,3922 SW 92nd Ave,,Miami,FL,33165,4100,MIAMI DADE,Other,25.733526,-80.34388,,,-8943839.809955876,2966114.2551015657
238008,PUBLIX  0084,2551 S le Jeune Rd,,Coral Gables,FL,33134,5805,MIAMI DADE,Supermarket,25.748051,-80.262611,,,-8934792.9862586,2967909.2960860305
242327,La Trocha Supermarket,12073 W Okeechobee Rd,,Hialeah,FL,33018,2919,MIAMI DADE,Grocery Store,25.883823,-80.361916,,,-8945847.568291822,2984699.025168475
245854,PUBLIX 0328,20425 Old Cutler Rd,,Cutler Bay,FL,33189,1833,MIAMI DADE,Supermarket,25.5776,-80.338058,,,-8943191.707880478,2946858.254656033
246945,PUBLIX 0044,7805 Bird Rd,,Miami,FL,33155,3547,MIAMI DADE,Supermarket,25.73324,-80.321289,,,-8941324.991339365,2966078.9126070226
259938,CVS Pharmacy 1127,6780 SW 40th St,,Miami,FL,33155,3753,MIAMI DADE,Other,25.733238,-80.304489,,,-8939454.823894039,2966078.6654570107
262512,PUBLIX  0261,8250 Mills Dr,,Kendall,FL,33183,4805,MIAMI DADE,Supermarket,25.690786,-80.385864,,,-8948513.44745734,2960833.5953519032
264239,CVS PHARMACY 3764,20345 Old Cutler Rd,,Cutler Bay,FL,33189,1831,MIAMI DADE,Other,25.578468,-80.336182,,,-8942982.87251575,2946965.3782925964
271897,Walgreens 11939,8450 Coral Way,,Miami,FL,33155,2334,MIAMI DADE,Other,25.747473,-80.331238,,,-8942432.508953268,2967837.86100301
275611,MAS UNIDOS SUPERMARKET,832 SE 8th St,,Hialeah,FL,33010,5702,MIAMI DADE,Grocery Store,25.815729,-80.264175,,,-8934967.089942198,2976276.0332518066
276449,Sedano's 4,6709 W Flagler St,,Miami,FL,33144,2990,MIAMI DADE,Supermarket,25.770548,-80.304359,,,-8939440.352360236,2970689.97290624
279550,Walgreens 5625,1601 SW 107th Ave,,Miami,FL,33165,7344,MIAMI DADE,Other,25.753181,-80.36795,,,-8946519.270099271,2968543.328578381
280826,Presidente Supermarket 3,1895 SW 8th St,,Miami,FL,33135,3417,MIAMI DADE,Supermarket,25.765566,-80.226128,,,-8930731.717275986,2970074.1417381545
283918,Sedano's 18,12175 SW 26th St,,Miami,FL,33175,2467,MIAMI DADE,Supermarket,25.744488,-80.39183,,,-8949177.579539413,2967468.950059514
288724,Sedano's 9,4040 E 4th Ave,,Hialeah,FL,33013,2302,MIAMI DADE,Supermarket,25.858931,-80.274681,,,-8936136.612512473,2981619.4084937996
291371,CVS Pharmacy 3756,2391 W 68th St,,Hialeah,FL,33016,6816,MIAMI DADE,Other,25.884199,-80.331192,,,-8942427.388256693,2984745.5485383114
295717,Gordon Food Service Store MP125,2299 SW 8th St,,Miami,FL,33135,4913,MIAMI DADE,Supermarket,25.765398,-80.232491,,,-8931440.043195905,2970053.375501344
304151,Walmart Supercenter 1680,15885 SW 88th St,,Miami,FL,33196,1003,MIAMI DADE,Super Store,25.684399,-80.448792,,,-8955518.56037398,2960044.6244913386
306667,Sedano's 5,9688 SW 24th St,,Miami,FL,33165,8015,MIAMI DADE,Supermarket,25.747124,-80.351501,,,-8944688.175795212,2967794.7282232447
306828,PUBLIX  0094,1401 Monza Ave,,Coral Gables,FL,33146,3117,MIAMI DADE,Supermarket,25.707567,-80.281944,,,-8936945.125974104,2962906.7138747866
307668,Diaz Supermarket,13501 SW 268th St,,Naranja,FL,33032,7719,MIAMI DADE,Super Store,25.51815,-80.4104,,,-8951244.782483445,2939523.1194431093
308853,Presidente Supermarket 6,11336 Quail Roost Dr,,Miami,FL,33157,6567,MIAMI DADE,Supermarket,25.593576,-80.377357,,,-8947566.452549163,2948830.0464159837
316464,CVS Pharmacy 931,101 Hialeah Dr,,Hialeah,FL,33010,5216,MIAMI DADE,Other,25.822807,-80.278557,,,-8936568.086858789,2977151.3315774915
321097,WALGREENS  6012,655 NW 57th Ave,,Miami,FL,33126,4814,MIAMI DADE,Other,25.777802,-80.288322,,,-8937655.121686384,2971586.695025838
321462,WINN DIXIE  371,19167 S Dixie Hwy,,Cutler Bay,FL,33157,7714,MIAMI DADE,Supermarket,25.590094,-80.358543,,,-8945472.087649379,2948400.2681632857
323083,PUBLIX 0024,10201 HAMMOCKS BLVD BOX 111,,MIAMI,FL,33196,    ,MIAMI DADE,Supermarket,25.672722,-80.444069,,,-8954992.798418963,2958602.3019033335
323260,PUBLIX  0054,311 SW 7th St,,Miami,FL,33130,2917,MIAMI DADE,Supermarket,25.767227,-80.19928,,,-8927743.011587169,2970279.4571255404
323633,PUBLIX  0010,8341 W Flagler St,,Miami,FL,33144,2029,MIAMI DADE,Supermarket,25.769817,-80.331039,,,-8942410.3563746,2970599.6114759403
329878,PUBLIX 0375,1525 SW 107th Ave,,Miami,FL,33174,2510,MIAMI DADE,Supermarket,25.754787,-80.367996,,,-8946524.390795847,2968741.824690791
330087,PUBLIX 655,10755 NW 58th St,,Doral,FL,33178,2801,MIAMI DADE,Supermarket,25.82633,-80.371109,,,-8946870.928370688,2977587.021609145
330327,Walgreens 3211,9675 NW 41st St,,Doral,FL,33178,2974,MIAMI DADE,Other,25.811764,-80.352562,,,-8944806.285774944,2975785.725811343
330356,Sedano's 17,10720 W Flagler St,,Miami,FL,33174,4406,MIAMI DADE,Supermarket,25.76745,-80.370216,,,-8946771.520065408,2970307.022263859
331136,DELI VIEW,25 NW 9th St,,Miami,FL,33136,3522,MIAMI DADE,Convenience Store,25.782911,-80.19458,,,-8927219.80998044,2972218.2902851366
334415,Joe's Market,2190 NW 46th St,,Miami,FL,33142,4017,MIAMI DADE,Supermarket,25.816772,-80.232101,,,-8931396.628594495,2976405.012185396
338846,CVS Pharmacy 0866,9031 SW 107th Ave,,Miami,FL,33176,1414,MIAMI DADE,Other,25.685007,-80.366196,,,-8946324.01571242,2960119.7274579233
341635,CVS Pharmacy 5147,227 SW 8th St,,Miami,FL,33130,3529,MIAMI DADE,Other,25.766333,-80.197868,,,-8927585.82846617,2970168.949871265
344046,CVS Pharmacy 4072,1525 W 49th St,,Hialeah,FL,33012,2924,MIAMI DADE,Other,25.866678,-80.313499,,,-8940457.812506085,2982577.7910841326
344270,Walgreens 3239,1 SE 3rd Ave,Ste 100,Miami,FL,33131,1707,MIAMI DADE,Other,25.773773,-80.18895,,,-8926593.081247276,2971088.632919877
345234,CVS Pharmacy 4665,12955 SW 112th St,,Miami,FL,33186,4768,MIAMI DADE,Other,25.663536,-80.405579,,,-8950708.111218331,2957467.762569547
345550,Mexico Market,407 Park Pl,,Homestead,FL,33030,6022,MIAMI DADE,Super Store,25.473768,-80.475327,,,-8958472.42306218,2934049.4919421584
348837,Sedano's 28,3140 W 76th St,,Hialeah,FL,33018,3803,MIAMI DADE,Supermarket,25.891443,-80.346916,,,-8944177.775929924,2985641.894726475
349462,Walgreens 01600,14720 SW 88th St,,Miami,FL,33196,1481,MIAMI DADE,Other,25.684772,-80.430634,,,-8953497.221060155,2960090.699127698
352308,CVS Pharmacy 5118,28740 S Dixie Hwy,,Homestead,FL,33033,1233,MIAMI DADE,Other,25.499701,-80.446045,,,-8955212.76573277,2937247.560591372
360900,PUBLIX 0293,13735 SW 152nd St,,Miami,FL,33177,1106,MIAMI DADE,Supermarket,25.626364,-80.415596,,,-8951823.198557608,2952877.6359751513
366593,PUBLIX 0238,14630 SW 26th St,,Miami,FL,33175,8065,MIAMI DADE,Supermarket,25.74291,-80.431625,,,-8953607.538675532,2967273.9315367616
369948,Presidente Supermarket 10,2294 W Flagler St,,Miami,FL,33135,1523,MIAMI DADE,Supermarket,25.77252,-80.232689,,,-8931462.08445508,2970933.741401259
369983,PUBLIX 581,134 SW 13th St,,Miami,FL,33130,4211,MIAMI DADE,Supermarket,25.761482,-80.196793,,,-8927466.160013566,2969569.332736243
380153,PUBLIX  0051,1500 S Douglas Rd,,Coral Gables,FL,33134,4108,MIAMI DADE,Supermarket,25.758017,-80.254929,,,-8933937.829930324,2969141.0497825337
384572,WALGREEN 03784,3655 S Dixie Hwy,,Miami,FL,33133,4306,MIAMI DADE,Other,25.733313,-80.253365,,,-8933763.726246724,2966087.933585311
391819,Walgreens 02184,8327 W Flagler St,,Miami,FL,33144,2029,MIAMI DADE,Other,25.769823,-80.33078,,,-8942381.524626486,2970600.3531543612
391891,CVS Pharmacy 4059,1160 S Dixie Hwy,,Coral Gables,FL,33146,2918,MIAMI DADE,Other,25.715706,-80.275223,,,-8936196.947676482,2963912.3081810838
