Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1403077,Sunrise Food Market,1214 N Howard Ave,,Tampa,FL,33607,5322,HILLSBOROUGH,Grocery Store,27.953684,-82.482994,,,-9181964.89118464,3243135.655636094
1633448,Whole Foods Market 10839,9560 Glades Rd,Unit 120,Boca Raton,FL,33434,4013,PALM BEACH,Super Store,26.366241,-80.195885,,,-8927365.081915926,3044512.6256893734
1634609,Aldi 82187,3157 W 23rd St,,Panama City,FL,32405,1828,BAY,Supermarket,30.188742,-85.70311,,,-9540426.56459991,3527834.011935969
1634571,The Fresh Market 701,840 A1a N,Ste 210,Ponte Vedra Beach,FL,32082,3272,ST JOHNS,Supermarket,30.196104,-81.382301,,,-9059436.30690492,3528782.1722025317
1620852,Country Fried Chicken Mart LLC,1205 N Martin Luther King Jr Ave,,Clearwater,FL,33755,3225,PINELLAS,Convenience Store,27.978113,-82.791672,,,-9216326.768963726,3246214.619831619
1630332,Easy Market Express,14111 Belcher Rd S,,Largo,FL,33771,4578,PINELLAS,Convenience Store,27.901329,-82.745262,,,-9211160.43139601,3236539.3199641793
1606185,Fiesta Food Market #3,4101 N State Road 7,,Lauderdale Lakes,FL,33319,4826,BROWARD,Convenience Store,26.176939,-80.204269,,,-8928298.384526737,3021012.151596265
884721,Sams Food And Gas,5801 N Australian Ave,,Mangonia Park,FL,33407,2327,PALM BEACH,Convenience Store,26.763439,-80.071861,,,-8913558.79338978,3093947.5387532907
1630264,Fresh Meats,9551 Baymeadows Rd,Ste 18,Jacksonville,FL,32256,7938,DUVAL,Specialty Store,30.221941,-81.559601,,,-9079173.252622565,3532110.309712947
1624963,Quickstop 31,1136 Beck Ave,,Panama City,FL,32401,1468,BAY,Convenience Store,30.169479,-85.701111,,,-9540204.036937816,3525353.4437432443
1621040,The Produce Spot,2401 W Atlantic Blvd,,Pompano Beach,FL,33069,2634,BROWARD,Specialty Store,26.232338,-80.155731,,,-8922895.159082614,3027885.5726003135
1634572,Publix Super Markets Inc. 2041,4112 E Johnson Ave,,Haines City,FL,33844,9233,POLK,Supermarket,28.115664,-81.588432,,,-9082382.704861626,3263564.21559817
1603037,O&P Family Store n/A,2302 N Davis St,,Jacksonville,FL,32209,5112,DUVAL,Convenience Store,30.351709,-81.667244,,,-9091156.016570026,3548839.3424646254
1634689,Aldi 82206,312 E Nine Mile Rd,,Pensacola,FL,32514,2737,ESCAMBIA,Supermarket,30.533451,-87.261696,,,-9713927.564477438,3572305.952339857
